pressure_kpa,azeotrope_x1,azeotrope_y1,azeotrope_temperature_c
70.0,0.9031645569620254,0.9032850129374683,69.15358261124604
75.0,0.9031645569620254,0.9031370404077529,70.79482576125862
80.0,0.9031645569620254,0.9029991100601776,72.34649131618121
85.0,0.9031645569620254,0.9028699779839693,73.81870899203835
90.0,0.9031645569620254,0.9027486164199925,75.21994370741285
95.0,0.9031645569620254,0.9026341665597004,76.55734510799478
100.0,0.9031645569620254,0.9025259035430521,77.83700942253643
105.0,0.890759493670886,0.8913783538518678,79.06387626261719
110.0,0.890759493670886,0.8912657608953672,80.24277137597701
115.0,0.890759493670886,0.8911584155381402,81.37768707192036
120.0,0.890759493670886,0.8910558621121217,82.4721018482348
125.0,0.890759493670886,0.8909577014385338,83.52908705979709
130.0,0.890759493670886,0.890863581888071,84.55136877592318
