pressure_kpa,azeotrope_x1,azeotrope_y1,azeotrope_temperature_c
70.0,0.904429770742953,0.904429770742953,69.15374963493173
75.0,0.902932082991404,0.902932082991404,70.79486134553203
80.0,0.9017467483929927,0.9017467483929927,72.34666196704644
85.0,0.9006057047206613,0.9006057047206613,73.81893692766046
90.0,0.8995044306668719,0.8995044306668719,75.22015991531619
95.0,0.8984390877897361,0.8984390877897361,76.55748792960593
100.0,0.897406387096594,0.897406387096594,77.83702342594658
105.0,0.8964034870122971,0.8964034870122971,79.06401394159815
110.0,0.895427914217263,0.895427914217263,80.24300634530896
115.0,0.8944775014299844,0.8944775014299844,81.37796759502565
120.0,0.8935503379329178,0.8935503379329178,82.47238039946397
125.0,0.8926447298128228,0.8926447298128228,83.52931981610017
130.0,0.8917591676981288,0.8917591676981288,84.55151518715124
