model,x1,y1,temperature_c
ideal,0.01,0.022090894337684765,99.65444395072136
van_laar,0.01,0.10027097523647134,97.34297108753438
nrtl,0.01,0.10754648009495575,97.11946302476113
ideal,0.02240506329113924,0.04877890305804067,99.23567330785852
van_laar,0.02240506329113924,0.19147884079287983,94.74464192296735
nrtl,0.02240506329113924,0.2019978018359359,94.38789564253909
ideal,0.03481012658227848,0.07470453632650148,98.82343417637614
van_laar,0.03481012658227848,0.25896327094134464,92.69557993719208
nrtl,0.03481012658227848,0.27012208793550896,92.28430504486397
ideal,0.047215189873417725,0.09989862973550609,98.41754606370846
van_laar,0.047215189873417725,0.3107430022644197,91.04481956327551
nrtl,0.047215189873417725,0.3215168129200338,90.6179031248345
ideal,0.05962025316455696,0.12439042169823078,98.01783547730011
van_laar,0.05962025316455696,0.3516167344487775,89.69228615598948
nrtl,0.05962025316455696,0.3616112577349831,89.26960257104633
ideal,0.0720253164556962,0.14820765349121945,97.62413558006284
van_laar,0.0720253164556962,0.3846290857618422,88.5686565252659
nrtl,0.0720253164556962,0.39371707289064056,88.16040900058645
ideal,0.08443037974683544,0.17137666199263102,97.23628586616624
van_laar,0.08443037974683544,0.41180363130984793,87.6242112328043
nrtl,0.08443037974683544,0.4199735042994483,87.23546033391266
ideal,0.09683544303797467,0.1939224657220723,96.85413185577953
van_laar,0.09683544303797467,0.43453716840830264,86.82227649810298
nrtl,0.09683544303797467,0.4418264091703642,86.45526500635249
ideal,0.10924050632911392,0.21586884473194526,96.47752480747629
van_laar,0.10924050632911392,0.45382461017790543,86.135171086793
nrtl,0.10924050632911392,0.46028947424296823,85.79057053072611
ideal,0.12164556962025316,0.23723841484984926,96.10632144713055
van_laar,0.12164556962025316,0.47039363736274914,85.54159710947224
nrtl,0.12164556962025316,0.47609525954249216,85.21919858676213
ideal,0.1340506329113924,0.258052696726328,95.74038371219783
van_laar,0.1340506329113924,0.4847886664177265,85.02490175574256
nrtl,0.1340506329113924,0.48978683060326866,84.7240084120988
ideal,0.14645569620253165,0.2783321801014414,95.3795785103776
van_laar,0.14645569620253165,0.497425057984233,84.57188489954312
nrtl,0.14645569620253165,0.5017756227886667,84.29153894815369
ideal,0.1588607594936709,0.2980963836669292,95.02377749171708
van_laar,0.1588607594936709,0.5086251750015955,84.17196026839578
nrtl,0.1588607594936709,0.5123792473467063,83.91107585578524
ideal,0.17126582278481015,0.3173639108675542,94.67285683328834
van_laar,0.17126582278481015,0.5186430009741588,83.816552234834
nrtl,0.17126582278481015,0.5218469267217009,83.5739936406781
ideal,0.18367088607594936,0.33615250195528745,94.32669703563514
van_laar,0.18367088607594936,0.5276813377034696,83.49865359512317
nrtl,0.18367088607594936,0.5303770490632668,83.273281202669
ideal,0.1960759493670886,0.35447908258291844,93.98518273024207
van_laar,0.1960759493670886,0.5359040660874281,83.21249578876926
nrtl,0.1960759493670886,0.5381295583650398,83.0031928420803
ideal,0.20848101265822785,0.37235980919918743,93.64820249733354
van_laar,0.20848101265822785,0.5434450475159748,82.9532992035675
nrtl,0.20848101265822785,0.5452348750925151,82.75898702841658
ideal,0.2208860759493671,0.38981011148533284,93.31564869335878
van_laar,0.2208860759493671,0.5504146927664793,82.71708152895788
nrtl,0.2208860759493671,0.5518004338926479,82.53672780282783
ideal,0.23329113924050635,0.40684473205283966,92.9874172875649
van_laar,0.23329113924050635,0.5569048817366133,82.50050885287467
nrtl,0.23329113924050635,0.5579155520407534,82.33313168816719
ideal,0.24569620253164556,0.42347776360390615,92.66340770710094
van_laar,0.24569620253164556,0.5629926978434692,82.30077868443037
nrtl,0.24569620253164556,0.563655107585846,82.14544820072557
ideal,0.2581012658227848,0.4397226837395676,92.34352269013593
van_laar,0.2581012658227848,0.568743297635943,82.1155271334485
nrtl,0.2581012658227848,0.5690823549652438,81.97136553737346
ideal,0.2705063291139241,0.4555923875853177,92.02766814650785
van_laar,0.2705063291139241,0.57421214080696,81.94275458566932
nrtl,0.2705063291139241,0.5742511063866186,81.80893537688625
ideal,0.2829113924050633,0.47109921839035984,91.7157530254552
van_laar,0.2829113924050633,0.5794467411904888,81.7807656931596
nrtl,0.2829113924050633,0.5792074405662088,81.6565123703937
ideal,0.2953164556962025,0.4862549962441029,91.4076891900106
van_laar,0.2953164556962025,0.5844880548478916,81.62812055494244
nrtl,0.2953164556962025,0.5839910548881674,81.51270504622312
ideal,0.3077215189873418,0.5010710450421382,91.10339129766804
van_laar,0.3077215189873418,0.589371590261269,81.48359472541262
nrtl,0.3077215189873418,0.5886363454846166,81.37633567523285
ideal,0.320126582278481,0.5155582178235031,90.80277668695625
van_laar,0.320126582278481,0.5941283036239215,81.34614624589771
nrtl,0.320126582278481,0.5931732775259819,81.24640723646557
ideal,0.3325316455696203,0.5297269205915767,90.5057652695796
van_laar,0.3325316455696203,0.5987853264094565,81.214888307458
nrtl,0.3325316455696203,0.5976280921713738,81.12207605788173
ideal,0.3449367088607595,0.5435871347222468,90.21227942780713
van_laar,0.3449367088607595,0.6033665609206175,81.08906646169328
nrtl,0.3449367088607595,0.6020238851898988,81.00262902926995
ideal,0.3573417721518987,0.5571484380550596,89.92224391681177
van_laar,0.3573417721518987,0.607893171089176,80.96803952948049
nrtl,0.3573417721518987,0.6063810839066467,80.88746452595095
ideal,0.369746835443038,0.570420024755792,89.63558577168217
van_laar,0.369746835443038,0.6123839895446009,80.85126353532343
nrtl,0.369746835443038,0.6107178429551232,80.77607636469735
ideal,0.3821518987341772,0.583410724032231,89.35223421884656
van_laar,0.3821518987341772,0.6168558572850461,80.73827813169902
