x1,temperature_c,GE_j_mol,HE_j_mol
0.01,97.11946302476113,52.402460535516475,-25.458836665939494
0.03,93.03968144311504,149.13380543366625,-70.59021381341364
0.05,90.29082767911635,237.0553527767461,-108.5945932019597
0.06999999999999999,88.32768536977598,317.5024437851434,-140.12518439072343
0.09,86.86920485132435,391.27693685448287,-165.78279310534836
0.11,85.75310244839343,458.92318519345696,-186.12271630345742
0.13,84.87821560045765,520.8453245118553,-201.65972938143852
0.15000000000000002,84.17794014372633,577.3644668778254,-212.87179089850707
0.17,83.60661664882056,628.7493161033079,-220.20296912175488
0.19,83.13197377226687,675.2336769631416,-224.06589116276993
0.21000000000000002,82.73066410214375,717.0269651717731,-224.84389358646862
0.23,82.3854915919241,754.3207490151734,-222.8929774792372
0.25,82.08361747473087,787.2929367858918,-218.54362061156326
0.27,81.81535901787818,816.1105189654184,-212.10248185448378
0.29000000000000004,81.5733617916018,840.9314002208674,-203.85401154048614
0.31,81.35201526945184,861.9056474872614,-194.06197741755489
0.33,81.14703159542086,879.1763586633571,-182.97090889397535
0.35000000000000003,80.95513654632103,892.880282878339,-170.8074637534254
0.37,80.77383935404545,903.1482774979148,-157.7817158743941
0.39,80.60125903534016,910.1056578493946,-144.08836665141536
0.41000000000000003,80.43599190412823,913.8724766803858,-129.90788227124574
0.43,80.27700954848018,914.5637578618532,-115.40755617725772
0.45,80.12357964160711,912.2897005143677,-100.74250163893312
0.47000000000000003,79.97520406668392,907.1558641467057,-86.05657580737194
0.49,79.83157030432048,899.2633416342426,-71.48323767510203
0.51,79.69251307104476,888.7089243350945,-57.14634529948649
0.53,79.55798394395431,875.5852619493123,-43.16089279901547
0.55,79.42802725059445,859.9810186051363,-29.633692721182076
0.5700000000000001,79.30276090425049,841.9810259257099,-16.664006617901475
0.59,79.1823611640701,821.6664333659164,-4.344127024754698
0.61,79.06705052498342,799.114855826773,7.24008600052143
0.63,78.95708811401559,774.4005183948827,18.008710624270833
0.65,78.85276210131268,747.5943979758179,27.887306553062462
0.67,78.75438373608878,718.7643615646093,36.80649620670279
0.6900000000000001,78.66228269707825,687.9753009040613,44.70157793318753
0.7100000000000001,78.5768035093019,655.2892633090476,51.51217068959595
0.73,78.49830282802515,620.765578473119,57.18188659382842
0.75,78.4271474296821,584.4609811166113,61.658030450233525
0.77,78.36371278051337,546.4297293790703,64.89132158775061
0.79,78.30838207843401,506.7237189006864,66.8356404240641
0.81,78.26154568352487,465.39259257619125,67.44779278295277
0.8300000000000001,78.2236008685439,422.4838459994994,66.68729553675514
0.85,78.19495183376357,378.0429286480324,64.51617663461424
0.87,78.176009940878,332.11334088214545,60.89879462219192
0.89,78.16719412916525,284.73672685767974,55.80166880042659
0.91,78.16893148391397,235.95296346855525,49.1933267770844
0.93,78.1816579326318,185.8002454521221,41.044161649213024
0.9500000000000001,78.20581904896851,134.31516680291907,31.32630224541373
0.97,78.24187094781074,81.53279865108532,20.01349339389081
0.99,78.2902812577607,27.486763770331066,7.080986809559246
