model,x1,y1,temperature_c
ideal,0.01,0.022090894337684765,99.65444395072136
van_laar,0.01,0.10027097523647134,97.34297108753438
nrtl,0.01,0.10754648009495575,97.11946302476113
ideal,0.03,0.06474023063316713,98.98251838150472
van_laar,0.03,0.2350066518461879,93.43596559383003
nrtl,0.03,0.246094509068097,93.03968144311504
ideal,0.05,0.10545691182488574,98.32728341046405
van_laar,0.05,0.3207389291879091,90.7180793911717
nrtl,0.05,0.3313590347726752,90.29082767911635
ideal,0.06999999999999999,0.1443640837378089,97.68800934203598
van_laar,0.06999999999999999,0.3796825074416672,88.7387355833541
nrtl,0.06999999999999999,0.3889212677329927,88.32768536977598
ideal,0.09,0.18157490864460823,97.06401098123709
van_laar,0.09,0.42249296188639857,87.2483578606289
nrtl,0.09,0.43026123471285666,86.86920485132435
ideal,0.11,0.21719353807192374,96.45464420850026
van_laar,0.11,0.45491085808459303,86.09633123106263
nrtl,0.11,0.46132722934323417,85.75310244839343
ideal,0.13,0.25131597574967207,95.85930286905362
van_laar,0.13,0.48029963843864903,85.18603503565329
nrtl,0.13,0.4855211423551416,84.87821560045765
ideal,0.15000000000000002,0.2840308447227929,95.27741594359493
van_laar,0.15000000000000002,0.5007594319305516,84.45261154907854
nrtl,0.15000000000000002,0.504934567642859,84.17794014372633
ideal,0.17,0.31542007066011213,94.70844497097693
van_laar,0.17,0.5176687158715564,83.85099281646653
nrtl,0.17,0.5209267872633827,83.60661664882056
ideal,0.19,0.345559491717612,94.15188169702633
van_laar,0.19,0.5319694795524106,83.34901006895277
nrtl,0.19,0.534420763615395,83.13197377226687
ideal,0.21000000000000002,0.3745194038918435,93.60724592661117
van_laar,0.21000000000000002,0.5443271650687013,82.92321260312946
nrtl,0.21000000000000002,0.5460658712393863,82.73066410214375
ideal,0.23,0.40236504959130653,93.07408355867415
van_laar,0.23,0.5552251453122707,82.55621874380617
nrtl,0.23,0.556332626463218,82.3854915919241
ideal,0.25,0.42915705612456806,92.5519647862275
van_laar,0.25,0.565023000231227,82.23497622822093
nrtl,0.25,0.5655704934387911,82.08361747473087
ideal,0.27,0.4549518299249877,92.04048244530017
van_laar,0.27,0.5739938072560615,81.9495848301615
nrtl,0.27,0.5740445851248077,81.81535901787818
ideal,0.29000000000000004,0.479801911579484,91.53925049857831
van_laar,0.29000000000000004,0.5823487687572805,81.69247881991578
nrtl,0.29000000000000004,0.5819597673587223,81.5733617916018
ideal,0.31,0.5037562960830121,91.04790264102063
van_laar,0.31,0.5902539299107331,81.45784667639526
nrtl,0.31,0.5894769605299596,81.35201526945184
ideal,0.33,0.5268607221849736,90.56609101608403
van_laar,0.33,0.597841805004857,81.2412113215197
nrtl,0.33,0.5967244508253513,81.14703159542086
ideal,0.35000000000000003,0.5491579342149224,90.09348503239188
van_laar,0.35000000000000003,0.6052196382782026,81.03912144492526
nrtl,0.35000000000000003,0.6038059185111414,80.95513654632103
ideal,0.37,0.5706879193612029,89.62977027173108
van_laar,0.37,0.6124753874293224,80.84892125475947
nrtl,0.37,0.6108062521362579,80.77383935404545
ideal,0.39,0.5914881230179517,89.17464748020325
van_laar,0.39,0.6196821335781738,80.66857657882257
nrtl,0.39,0.6177958361220293,80.60125903534016
ideal,0.41000000000000003,0.6115936445050948,88.72783163517161
van_laar,0.41000000000000003,0.626901383442326,80.49654209367276
nrtl,0.41000000000000003,0.6248337647128984,80.43599190412823
ideal,0.43,0.6310374151957824,88.28905108140722
van_laar,0.43,0.6341855784334811,80.33165899428433
nrtl,0.43,0.6319702873350879,80.27700954848018
ideal,0.45,0.6498503608503595,87.85804673044892
van_laar,0.45,0.6415800273624097,80.1730754781392
nrtl,0.45,0.6392486948986255,80.12357964160711
ideal,0.47000000000000003,0.668061549750546,87.43457131781814
van_laar,0.47000000000000003,0.6491244145496099,80.02018452179978
nrtl,0.47000000000000003,0.6467067935989141,79.97520406668392
ideal,0.49,0.6856983280479285,87.01838871321725
van_laar,0.49,0.6568539913872302,79.87257489827284
nrtl,0.49,0.6543780704428814,79.83157030432048
ideal,0.51,0.702786443583527,86.60927327931734
van_laar,0.51,0.6648005294029117,79.7299924263399
nrtl,0.51,0.6622926257687061,79.69251307104476
ideal,0.53,0.7193501592971584,86.20700927515023
van_laar,0.53,0.67299309199714,79.59230919298979
nrtl,0.53,0.6704779278995775,79.55798394395431
ideal,0.55,0.7354123572239842,85.81139030049243
van_laar,0.55,0.6814586672885867,79.45949903626939
nrtl,0.55,0.6789594308708515,79.42802725059445
ideal,0.5700000000000001,0.7509946339687662,85.42221877795996
van_laar,0.5700000000000001,0.6902226939677284,79.3316179783134
nrtl,0.5700000000000001,0.6877610860131083,79.30276090425049
ideal,0.59,0.7661173884541335,85.03930546983106
van_laar,0.59,0.6993095044429263,79.20878859805603
nrtl,0.59,0.696905770817543,79.1823611640701
ideal,0.61,0.7807999026559309,84.66246902688248
van_laar,0.61,0.7087427040011368,79.09118755863125
nrtl,0.61,0.7064156531209586,79.06705052498342
ideal,0.63,0.7950604159650516,84.29153556676462
van_laar,0.63,0.7185455006084905,78.97903567570897
nrtl,0.63,0.7163125046580877,78.95708811401559
ideal,0.65,0.808916193749924,83.92633827966141
van_laar,0.65,0.7287409969375894,78.87259004419688
nrtl,0.65,0.7266179750478274,78.85276210131268
ideal,0.67,0.8223835906358947,83.56671705917151
van_laar,0.67,0.7393524539447934,78.77213784206961
nrtl,0.67,0.7373538350341662,78.75438373608878
ideal,0.6900000000000001,0.8354781089662997,83.21251815653072
van_laar,0.6900000000000001,0.7504035336319559,78.67799150898895
